Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdi32.dll

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    568B167A time date stamp Tue Jan  5 01:03:54 2016
        0.00 version
        1000 ordinal base
        1001 number of functions
         865 number of names

    ordinal hint RVA      name

       1011    0 000E6060 AbortDoc
       1012    1 000E7780 AbortPath
       1015    2 000DAD30 AddFontMemResourceEx
       1016    3 000DAD80 AddFontResourceA
       1017    4 000DADA0 AddFontResourceExA
       1018    5 000DAED0 AddFontResourceExW
       1019    6 000DAF10 AddFontResourceTracking
       1020    7 000DB070 AddFontResourceW
       1021    8 000E61C0 AngleArc
       1022    9 000E76B0 AnimatePalette
       1023    A 000DB0F0 AnyLinkedFonts
       1024    B 000E6290 Arc
       1025    C 000E6390 ArcTo
       1026    D 000B81C0 BRUSHOBJ_hGetColorTransform
       1027    E 000B81D0 BRUSHOBJ_pvAllocRbrush
       1028    F 000B81E0 BRUSHOBJ_pvGetRbrush
       1029   10 000B81F0 BRUSHOBJ_ulGetBrushColor
       1030   11 000B8200 BeginGdiRendering
       1031   12 000B2C90 BeginPath
       1032   13 00082230 BitBlt
       1033   14 000B8210 CLIPOBJ_bEnum
       1034   15 000B8220 CLIPOBJ_cEnumStart
       1035   16 000B8230 CLIPOBJ_ppoGetPath
       1036   17 000D7AE0 CancelDC
       1037   18 000DD470 CheckColorsInGamut
       1038   19 000E7AC0 ChoosePixelFormat
       1039   1A 000E6470 Chord
       1040   1B 000D7750 ClearBitmapAttributes
       1041   1C 000D7770 ClearBrushAttributes
       1042   1D 000A69F0 CloseEnhMetaFile
       1043   1E 000B47D0 CloseFigure
       1044   1F 000AA350 CloseMetaFile
       1045   20 000DD620 ColorCorrectPalette
       1046   21 000DD850 ColorMatchToTarget
       1047   22 000AB640 CombineRgn
       1048   23 000D7820 CombineTransform
       1049   24 000B82A0 ConfigureOPMProtectedOutput
       1050   25 000EE240 CopyEnhMetaFileA
       1051   26 000EE2F0 CopyEnhMetaFileW
       1052   27 000E4810 CopyMetaFileA
       1053   28 000E48C0 CopyMetaFileW
       1054   29 00082490 CreateBitmap
       1056   2A 000B82C0 CreateBitmapFromDxSurface
       1055   2B 000B82D0 CreateBitmapFromDxSurface2
       1057   2C 000B5290 CreateBitmapIndirect
       1058   2D 000A4D30 CreateBrushIndirect
       1059   2E 000DDA90 CreateColorSpaceA
       1060   2F 000DDD30 CreateColorSpaceW
       1061   30 00082390 CreateCompatibleBitmap
       1062   31 00082050 CreateCompatibleDC
       1063   32 00083D70 CreateDCA
       1064   33 000B2AB0 CreateDCW
       1065   34 000B5610 CreateDIBPatternBrush
       1066   35 000E5AB0 CreateDIBPatternBrushPt
       1067   36 000AEF00 CreateDIBSection
       1068   37 000819D0 CreateDIBitmap
       1069   38 000E5AE0 CreateDiscardableBitmap
       1070   39 000E5AF0 CreateEllipticRgn
       1071   3A 000E5B00 CreateEllipticRgnIndirect
       1072   3B 000A8DD0 CreateEnhMetaFileA
       1073   3C 000A6D10 CreateEnhMetaFileW
       1074   3D 000B4D20 CreateFontA
