Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    56540494 time date stamp Tue Nov 24 06:32:52 2015
        0.00 version
        1502 ordinal base
        1201 number of functions
         933 number of names

    ordinal hint RVA      name

       1503    0 00039AD0 ActivateKeyboardLayout
       1504    1 0003BD30 AddClipboardFormatListener
       1505    2 0002F200 AdjustWindowRect
       1506    3 0002F240 AdjustWindowRectEx
       1507    4 0008B010 AlignRects
       1508    5 0005B890 AllowForegroundActivation
       1509    6 00034B20 AllowSetForegroundWindow
       1510    7 00028F00 AnimateWindow
       1511    8 00087850 AnyPopup
       1512    9 00089030 AppendMenuA
       1513    A 0005ED70 AppendMenuW
       1514    B 0005B8D0 ArrangeIconicWindows
       1515    C 000397B0 AttachThreadInput
       1516    D 00032870 BeginDeferWindowPos
       1517    E 00038A70 BeginPaint
       1518    F 0003BD70 BlockInput
       1519   10 00033B30 BringWindowToTop
       1520   11 00089080 BroadcastSystemMessage
       1521   12 00089080 BroadcastSystemMessageA
       1522   13 000890B0 BroadcastSystemMessageExA
       1523   14 0005EDC0 BroadcastSystemMessageExW
       1524   15 0005EDF0 BroadcastSystemMessageW
       1525   16 00083B50 BuildReasonArray
       1526   17 00039260 CalcMenuBar
       1527   18 0003BDA0 CalculatePopupWindowPosition
       1528   19 000895C0 CallMsgFilter
       1529   1A 000895C0 CallMsgFilterA
       1530   1B 00029D60 CallMsgFilterW
       1531   1C 00013560 CallNextHookEx
       1532   1D 0002DC70 CallWindowProcA
       1533   1E 00016940 CallWindowProcW
       1534   1F 00069000 CancelShutdown
       1535   20 0005B8F0 CascadeChildWindows
       1536   21 0007CC00 CascadeWindows
       1537   22 00039A80 ChangeClipboardChain
       1538   23 000898E0 ChangeDisplaySettingsA
       1539   24 00089910 ChangeDisplaySettingsExA
       1540   25 00068DB0 ChangeDisplaySettingsExW
       1541   26 00068EF0 ChangeDisplaySettingsW
       1542   27 0007DAA0 ChangeMenuA
       1543   28 0007DB50 ChangeMenuW
       1544   29 00020000 ChangeWindowMessageFilter
       1545   2A 0003BDE0 ChangeWindowMessageFilterEx
       1546   2B 000348F0 CharLowerA
       1547   2C 0008AB80 CharLowerBuffA
       1548   2D 00034DE0 CharLowerBuffW
       1549   2E 0008ABA0 CharLowerW
       1555   2F 0002E250 CharNextA
       1556   30 0008ABC0 CharNextExA
       1557   31 000371D0 CharNextW
       1558   32 000345F0 CharPrevA
       1559   33 0008ABE0 CharPrevExA
       1560   34 0008AC00 CharPrevW
       1561   35 00082D90 CharToOemA
       1562   36 00033F10 CharToOemBuffA
       1563   37 00082DE0 CharToOemBuffW
       1564   38 00082E30 CharToOemW
       1565   39 00034F00 CharUpperA
       1566   3A 0008AC20 CharUpperBuffA
       1567   3B 00034DA0 CharUpperBuffW
       1568   3C 00020020 CharUpperW
       1569   3D 0001E2A0 CheckDBCSEnabledExt
       1570   3E 0002CE70 CheckDlgButton
       1571   3F 00021430 CheckMenuItem
       1572   40 0007DC00 CheckMenuRadioItem
